player_id,age_group,prior_coding_exp,motivation_type,sessions_played,avg_session_time_min,levels_attempted,levels_completed,completion_rate,initial_difficulty,current_difficulty,difficulty_jump,avg_attempts_per_level,syntax_errors,logic_errors,hints_used,hint_rate,forum_posts,badges_earned,streak_days,time_between_sessions,performance_score,flow_score,optimal_difficulty,churned
P0190,13-15,0,Intrinsic,4,15.31,6,2,0.333,2,1,1,2.58,4,2,1,0.167,1,2,9,1.28,34.89,59.67,0,0
P0191,13-15,0,Social,5,19.87,14,9,0.643,1,1,0,4.58,8,6,2,0.143,0,4,13,0.72,45.27,77.86,1,0
P0192,23-30,5,Social,19,30.62,45,12,0.267,5,4,1,3.72,7,7,0,0.0,2,1,5,0.94,47.86,61.33,1,0
P0193,23-30,5,Intrinsic,9,21.86,17,5,0.294,4,7,3,3.45,8,6,5,0.294,0,2,2,11.62,51.15,49.88,0,1
P0194,19-22,5,Extrinsic,11,19.32,18,12,0.667,3,6,3,4.53,10,6,5,0.278,3,2,7,1.09,63.35,69.0,1,0
P0195,16-18,2,Extrinsic,8,26.53,21,13,0.619,3,5,2,6.07,11,9,6,0.286,1,2,2,11.42,45.59,68.38,1,0
P0196,16-18,0,Extrinsic,10,24.18,27,17,0.63,3,5,2,4.44,8,7,0,0.0,1,4,7,1.2,45.08,77.48,1,0
P0197,19-22,5,Intrinsic,9,30.24,24,5,0.208,2,3,1,4.39,8,7,2,0.083,1,0,0,0.79,42.36,55.92,0,0
P0198,23-30,2,Social,12,32.33,29,11,0.379,2,5,3,3.37,4,6,3,0.103,1,2,13,0.61,42.74,59.86,0,0
P0199,23-30,4,Extrinsic,5,24.46,10,5,0.5,3,2,1,5.04,13,14,2,0.2,1,3,2,1.59,52.9,67.0,1,0
P0200,19-22,2,Intrinsic,19,24.33,37,28,0.757,5,6,1,6.98,19,10,4,0.108,1,5,6,0.81,53.33,82.59,1,0
P0201,19-22,3,Intrinsic,18,23.71,27,15,0.556,1,4,3,3.31,6,5,4,0.148,3,3,1,3.58,55.44,67.33,1,0
P0202,13-15,0,Intrinsic,11,25.91,30,6,0.2,4,3,1,1.73,6,6,1,0.033,1,2,3,0.82,31.68,57.0,0,0
P0203,13-15,0,Intrinsic,22,22.44,35,32,0.914,1,4,3,4.76,13,4,6,0.171,4,7,1,5.41,60.16,84.57,1,0
P0204,23-30,4,Extrinsic,21,22.0,50,37,0.74,3,6,3,5.81,9,8,5,0.1,3,2,6,5.39,59.07,78.0,1,0
P0205,19-22,5,Intrinsic,12,31.57,27,16,0.593,3,2,1,3.36,4,6,5,0.185,0,6,5,1.01,69.3,72.07,1,0
P0206,13-15,0,Intrinsic,17,34.13,38,12,0.316,3,6,3,2.92,6,6,7,0.184,5,0,4,4.2,30.33,54.26,0,0
P0207,13-15,0,Extrinsic,15,9.94,43,26,0.605,1,4,3,4.34,9,2,5,0.116,0,2,3,5.85,41.34,70.74,1,0
P0208,19-22,5,Intrinsic,7,22.08,10,6,0.6,3,6,3,5.4,11,5,1,0.1,2,2,3,2.68,58.51,71.0,1,0
P0209,13-15,1,Social,8,16.49,21,12,0.571,3,5,2,3.39,4,3,0,0.0,2,1,5,1.37,44.88,74.57,1,0
P0210,13-15,0,Intrinsic,8,19.51,12,7,0.583,1,1,0,3.91,10,4,1,0.083,1,1,3,1.74,40.06,76.67,1,0
P0211,16-18,2,Intrinsic,4,25.22,6,1,0.167,1,4,3,6.25,18,11,3,0.5,0,0,7,4.63,24.05,37.33,0,0
P0212,19-22,5,Intrinsic,5,27.36,10,5,0.5,3,2,1,3.86,7,6,2,0.2,0,4,1,1.04,61.35,67.0,1,0
P0213,19-22,3,Intrinsic,21,21.1,33,5,0.152,3,6,3,4.46,12,9,7,0.212,3,1,6,1.22,33.42,45.21,0,0
P0214,13-15,2,Intrinsic,11,6.69,29,22,0.759,2,4,2,5.24,12,7,2,0.069,1,3,4,0.53,54.73,81.86,1,0
P0215,19-22,3,Extrinsic,9,14.28,20,18,0.9,3,5,2,2.72,5,4,4,0.2,0,7,6,1.53,76.71,85.0,1,0
P0216,13-15,0,Social,7,29.17,10,7,0.7,5,8,3,3.07,5,3,2,0.2,0,1,2,0.5,46.83,73.0,1,0
P0217,16-18,1,Intrinsic,9,5.0,14,7,0.5,1,2,1,3.1,4,4,1,0.071,0,0,13,1.16,41.25,70.86,1,0
P0218,19-22,4,Extrinsic,18,31.5,43,9,0.209,3,3,0,2.26,5,3,1,0.023,1,2,3,1.4,46.72,59.77,0,0
P0219,19-22,2,Extrinsic,2,26.17,5,4,0.8,1,1,0,1.79,2,2,1,0.2,0,0,1,0.89,60.51,84.0,1,0
P0220,19-22,1,Social,4,32.53,8,5,0.625,1,1,0,5.75,16,13,2,0.25,2,5,12,0.5,47.14,73.75,1,0
P0221,19-22,5,Intrinsic,17,20.41,39,24,0.615,2,1,1,6.76,14,14,3,0.077,3,2,1,2.21,55.72,76.46,1,0
P0222,19-22,2,Intrinsic,10,5.51,26,13,0.5,3,2,1,2.97,4,5,4,0.154,0,2,0,6.01,48.58,68.38,1,0
P0223,13-15,0,Intrinsic,7,25.44,16,12,0.75,4,6,2,4.14,9,6,6,0.375,1,7,7,1.23,55.16,72.25,1,0
P0224,16-18,0,Extrinsic,16,32.2,29,25,0.862,2,2,0,2.72,5,3,1,0.034,0,3,3,0.81,57.19,92.07,1,0
P0225,16-18,1,Social,2,29.4,4,2,0.5,3,6,3,6.16,5,6,4,1.0,0,3,6,1.01,38.1,39.0,0,0
P0226,13-15,0,Intrinsic,7,16.7,17,11,0.647,3,6,3,6.46,16,14,2,0.118,1,4,4,5.94,40.74,72.82,1,0
P0227,23-30,5,Intrinsic,23,22.69,50,45,0.9,2,3,1,1.0,1,1,1,0.02,2,1,9,2.25,80.0,92.4,1,0
P0228,16-18,3,Social,12,17.74,29,10,0.345,3,6,3,5.21,9,7,5,0.172,3,2,3,0.5,40.76,56.07,0,0
P0229,23-30,2,Social,10,15.45,29,4,0.138,4,4,0,1.04,3,2,2,0.069,0,1,0,3.71,37.42,54.83,0,0
P0230,19-22,5,Social,20,29.64,35,21,0.6,4,7,3,7.14,13,3,6,0.171,2,6,4,0.5,60.16,68.86,1,0
P0231,19-22,5,Extrinsic,9,12.42,26,15,0.577,4,6,2,4.66,9,2,0,0.0,1,3,6,0.5,60.93,74.85,1,0
P0232,16-18,1,Intrinsic,24,14.85,50,35,0.7,2,5,3,3.26,12,7,6,0.12,1,2,3,0.89,51.84,75.4,1,0
P0233,19-22,0,Extrinsic,6,13.17,15,7,0.467,4,3,1,3.14,6,4,3,0.2,0,2,6,0.55,38.82,65.33,1,0
P0234,16-18,5,Extrinsic,19,10.08,31,24,0.774,2,1,1,3.07,6,7,2,0.065,5,5,14,2.79,75.8,84.77,1,0
P0235,13-15,0,Intrinsic,9,23.17,18,6,0.333,4,3,1,4.29,5,11,3,0.167,0,3,7,1.99,32.11,59.67,0,0
P0236,19-22,1,Extrinsic,8,31.29,21,10,0.476,5,4,1,5.06,12,9,1,0.048,2,6,11,3.86,44.39,70.38,1,0
P0237,16-18,3,Extrinsic,24,20.52,50,37,0.74,1,3,2,2.28,3,4,2,0.04,1,4,1,2.15,66.91,81.8,1,0
P0238,13-15,3,Intrinsic,10,9.95,15,11,0.733,3,5,2,6.76,14,5,2,0.133,1,2,16,1.63,52.44,78.67,1,0
P0239,19-22,5,Extrinsic,8,28.72,18,14,0.778,3,5,2,6.41,10,12,0,0.0,1,5,2,2.24,67.59,84.89,1,0
P0240,13-15,0,Extrinsic,13,35.49,21,18,0.857,4,7,3,3.19,5,5,1,0.048,1,8,5,1.71,63.32,85.43,1,0
P0241,23-30,4,Social,10,16.83,29,14,0.483,2,1,1,3.61,3,4,1,0.034,0,5,0,0.5,58.79,71.1,1,0
P0242,23-30,5,Intrinsic,9,18.17,25,16,0.64,5,6,1,6.07,12,12,2,0.08,1,4,5,3.42,61.43,77.6,1,0
P0243,23-30,5,Intrinsic,6,26.13,9,7,0.778,3,4,1,5.35,15,6,1,0.111,1,3,7,9.82,67.24,83.56,1,0
P0244,16-18,2,Extrinsic,14,34.97,39,16,0.41,2,1,1,2.99,6,1,3,0.077,0,1,1,1.64,43.42,66.21,1,0
P0245,13-15,0,Intrinsic,20,17.84,50,22,0.44,1,1,0,4.22,8,3,0,0.0,3,1,5,1.65,33.55,72.0,1,0
P0246,23-30,3,Extrinsic,6,11.34,12,5,0.417,4,7,3,9.0,19,7,4,0.333,0,2,7,0.5,34.18,54.83,0,0
P0247,16-18,0,Extrinsic,16,27.05,41,22,0.537,1,2,1,3.66,4,4,0,0.0,1,2,5,6.63,40.32,74.83,1,0
P0248,23-30,3,Intrinsic,6,28.39,12,10,0.833,1,3,2,3.05,3,2,4,0.333,0,7,2,7.94,73.21,77.67,1,0
P0249,23-30,1,Extrinsic,6,22.05,14,1,0.071,3,3,0,3.26,14,7,0,0.0,0,0,1,5.03,23.71,53.57,0,0
P0250,23-30,3,Extrinsic,17,17.53,34,20,0.588,3,5,2,4.37,8,8,4,0.118,3,2,1,0.5,52.6,71.88,1,0
P0251,16-18,0,Intrinsic,33,29.96,50,9,0.18,3,3,0,2.21,3,3,1,0.02,2,0,6,6.91,26.67,58.4,0,0
P0252,16-18,0,Social,17,26.22,36,7,0.194,2,2,0,3.66,6,4,0,0.0,2,1,4,0.5,25.12,59.72,0,0
P0253,23-30,4,Social,9,15.85,15,8,0.533,4,7,3,2.62,7,4,1,0.067,0,2,2,1.76,58.79,68.67,1,0
P0254,16-18,4,Extrinsic,10,22.39,27,22,0.815,5,7,2,3.0,5,2,2,0.074,0,2,4,2.08,69.09,84.52,1,0
P0255,13-15,1,Extrinsic,14,11.19,28,18,0.643,2,4,2,5.14,8,6,3,0.107,1,2,2,5.39,44.87,74.93,1,0
P0256,19-22,1,Extrinsic,26,27.49,50,25,0.5,4,5,1,1.0,5,2,3,0.06,2,0,5,4.17,46.5,71.2,1,0
P0257,23-30,2,Social,4,19.9,11,10,0.909,5,4,1,4.85,6,7,1,0.091,1,4,7,4.79,63.23,90.73,1,0
P0258,19-22,5,Extrinsic,14,18.51,31,18,0.581,3,2,1,1.0,2,1,3,0.097,0,4,5,6.07,71.73,74.13,1,0
P0259,19-22,2,Extrinsic,18,21.74,41,19,0.463,3,4,1,1.0,0,2,0,0.0,3,2,1,1.94,52.04,71.17,1,0
P0260,13-15,0,Social,8,22.32,23,16,0.696,2,2,0,2.25,2,2,0,0.0,0,2,3,4.55,50.2,84.78,1,0
P0261,19-22,4,Intrinsic,11,29.16,31,15,0.484,3,4,1,3.93,9,7,3,0.097,2,2,4,0.5,53.53,69.29,1,0
P0262,23-30,2,Social,15,26.73,26,20,0.769,3,4,1,5.49,4,11,1,0.038,2,5,0,1.76,57.55,85.31,1,0
P0263,13-15,0,Intrinsic,7,20.75,15,5,0.333,4,6,2,4.09,6,6,2,0.133,0,0,3,0.5,28.12,58.67,0,0
P0264,16-18,0,Intrinsic,10,28.11,29,21,0.724,5,6,1,3.13,6,4,2,0.069,0,2,4,7.41,49.14,82.14,1,0
P0265,23-30,3,Intrinsic,6,25.21,12,10,0.833,1,1,0,3.87,8,3,0,0.0,1,5,6,9.54,68.16,91.67,1,0
P0266,19-22,4,Social,27,18.59,50,29,0.58,1,1,0,1.69,3,1,0,0.0,3,4,6,0.5,65.97,79.0,1,0
P0267,19-22,1,Social,12,21.0,21,11,0.524,1,4,3,4.71,8,5,3,0.143,2,6,6,2.28,47.18,65.9,1,0
P0268,19-22,4,Extrinsic,12,20.81,20,19,0.95,4,5,1,1.7,4,1,1,0.05,3,3,1,1.18,79.25,94.0,1,0
P0269,16-18,1,Extrinsic,12,26.04,31,19,0.613,1,2,1,3.62,7,7,1,0.032,0,5,5,1.26,51.96,77.68,1,0
P0270,16-18,2,Extrinsic,11,19.06,29,17,0.586,3,5,2,3.81,11,5,4,0.138,2,2,7,1.8,49.94,71.17,1,0
P0271,19-22,4,Social,30,18.88,50,32,0.64,2,4,2,2.79,9,5,1,0.02,4,4,1,0.5,65.62,77.4,1,0
P0272,19-22,5,Extrinsic,10,37.75,26,20,0.769,3,4,1,3.75,4,5,1,0.038,1,2,1,0.6,69.4,85.31,1,0
P0273,23-30,4,Intrinsic,10,29.52,18,16,0.889,2,3,1,3.74,8,5,0,0.0,1,6,3,2.58,76.21,92.44,1,0
P0274,23-30,3,Intrinsic,17,15.92,26,15,0.577,4,4,0,4.76,11,4,0,0.0,0,2,10,0.5,51.17,78.85,1,0
P0275,16-18,2,Extrinsic,7,26.57,20,10,0.5,3,2,1,1.09,0,2,1,0.05,0,1,2,2.75,51.77,71.5,1,0
P0276,16-18,2,Extrinsic,13,22.95,26,9,0.346,5,4,1,3.39,5,7,4,0.154,1,2,6,1.15,41.38,60.69,1,0
P0277,19-22,4,Intrinsic,19,25.13,37,27,0.73,3,6,3,3.36,4,5,2,0.054,3,2,5,5.36,64.79,78.86,1,0
P0278,19-22,4,Intrinsic,9,23.1,25,14,0.56,1,1,0,4.3,8,11,0,0.0,0,3,6,2.75,57.14,78.0,1,0
P0279,19-22,2,Social,6,31.52,14,2,0.143,2,5,3,5.63,10,10,4,0.286,0,0,16,3.69,24.64,42.57,0,1
P0280,19-22,3,Intrinsic,12,24.76,21,18,0.857,5,7,2,4.76,9,9,3,0.143,1,4,3,0.5,65.38,84.57,1,0
P0281,23-30,1,Extrinsic,13,21.5,36,23,0.639,4,7,3,3.44,4,6,4,0.111,1,2,2,0.93,48.94,72.61,1,0
P0282,16-18,4,Social,9,30.34,26,15,0.577,1,4,3,5.83,14,8,4,0.154,1,2,7,17.11,52.51,68.23,1,0
P0283,16-18,0,Intrinsic,10,23.87,16,12,0.75,4,3,1,1.2,3,4,1,0.062,0,3,0,1.71,56.49,83.62,1,0
P0284,13-15,0,Intrinsic,18,22.97,50,37,0.74,3,4,1,1.0,2,1,4,0.08,1,2,3,1.33,55.1,82.6,1,0
P0285,19-22,2,Extrinsic,11,24.51,22,17,0.773,2,4,2,2.09,6,3,2,0.091,2,2,21,6.21,61.69,81.91,1,0
P0286,13-15,1,Social,11,21.25,25,4,0.16,2,2,0,2.95,6,6,1,0.04,2,0,4,0.5,28.03,56.8,0,0
P0287,16-18,1,Extrinsic,12,22.07,34,17,0.5,4,7,3,5.51,15,5,4,0.118,1,1,1,2.3,36.72,65.47,1,0
P0288,16-18,3,Social,6,17.31,17,3,0.176,1,4,3,1.0,1,2,7,0.412,1,1,1,0.71,43.06,40.47,0,1
P0289,16-18,0,Intrinsic,9,15.99,17,5,0.294,2,5,3,6.48,15,11,3,0.176,1,2,6,1.38,23.55,53.41,0,0
P0290,19-22,4,Extrinsic,22,14.01,40,26,0.65,2,3,1,3.7,11,11,1,0.025,1,0,3,0.67,57.76,79.75,1,0
P0291,13-15,0,Extrinsic,9,10.86,14,9,0.643,2,2,0,1.0,2,3,2,0.143,1,1,1,0.5,49.71,77.86,1,0
P0292,13-15,3,Social,17,14.96,39,21,0.538,3,2,1,3.65,6,5,1,0.026,0,3,14,1.62,53.91,74.15,1,0
P0293,19-22,2,Intrinsic,7,20.61,10,3,0.3,1,3,2,5.64,8,11,0,0.0,3,3,4,4.67,35.4,61.0,1,0
P0294,16-18,2,Social,13,22.82,27,15,0.556,2,3,1,4.4,10,7,2,0.074,4,4,3,9.11,50.22,73.56,1,0
P0295,13-15,0,Extrinsic,14,19.83,22,15,0.682,5,5,0,4.65,7,3,0,0.0,2,6,14,2.93,49.65,84.09,1,0
P0296,16-18,2,Intrinsic,8,5.0,16,10,0.625,2,4,2,1.95,4,1,2,0.125,0,3,4,1.48,57.62,73.5,1,0
P0297,19-22,3,Intrinsic,15,34.6,23,16,0.696,2,1,1,2.88,7,2,5,0.217,0,5,7,4.41,65.13,76.26,1,0
P0298,13-15,0,Social,4,30.69,11,6,0.545,3,5,2,2.61,3,8,3,0.273,0,2,2,2.11,43.29,65.09,1,0
P0299,19-22,4,Intrinsic,25,25.57,45,33,0.733,3,6,3,7.08,13,13,3,0.067,1,4,3,1.37,58.64,78.67,1,0
P0300,13-15,0,Intrinsic,21,37.26,41,31,0.756,4,7,3,5.46,5,12,3,0.073,1,4,2,0.59,47.6,79.61,1,0
P0301,13-15,1,Intrinsic,14,14.18,39,33,0.846,2,3,1,7.77,19,12,1,0.026,0,3,0,4.77,47.92,89.54,1,0
P0302,16-18,5,Social,7,37.1,18,8,0.444,4,6,2,3.3,6,4,1,0.056,0,4,5,2.08,60.53,66.56,1,0
P0303,16-18,1,Extrinsic,5,14.28,9,6,0.667,4,7,3,3.41,10,5,6,0.667,1,5,3,9.96,54.63,57.33,0,0
P0304,19-22,1,Extrinsic,8,23.91,12,9,0.75,4,5,1,3.29,10,8,2,0.167,2,6,6,4.86,59.79,80.5,1,0
P0305,19-22,3,Intrinsic,11,11.81,28,14,0.5,1,2,1,5.57,10,11,2,0.071,0,2,1,1.63,46.08,70.86,1,0
P0306,23-30,5,Extrinsic,7,22.12,14,12,0.857,1,2,1,2.95,5,7,3,0.214,1,5,2,4.05,79.41,84.43,1,0
P0307,16-18,0,Extrinsic,16,25.09,42,33,0.786,3,2,1,3.69,8,6,1,0.024,0,4,1,1.81,53.21,86.57,1,0
P0308,16-18,4,Social,14,20.76,30,8,0.267,4,7,3,4.65,8,7,1,0.033,1,0,5,0.5,40.05,56.33,0,0
P0309,19-22,5,Social,8,27.71,16,13,0.812,3,6,3,4.56,11,8,1,0.062,0,4,1,2.18,72.1,82.75,1,0
P0310,16-18,1,Intrinsic,21,22.79,45,33,0.733,2,2,0,2.02,4,2,0,0.0,2,1,5,6.02,54.78,86.67,1,0
P0311,16-18,2,Extrinsic,8,17.82,20,13,0.65,1,1,0,2.79,4,3,2,0.1,1,4,8,5.8,58.01,79.5,1,0
P0312,13-15,2,Intrinsic,20,17.47,50,30,0.6,3,6,3,4.23,9,4,2,0.04,3,6,5,2.57,55.43,72.8,1,0
P0313,13-15,0,Extrinsic,12,28.49,18,6,0.333,4,7,3,4.49,12,1,6,0.333,3,2,5,1.43,30.11,50.67,0,0
P0314,23-30,3,Intrinsic,13,16.77,29,8,0.276,2,2,0,4.42,11,8,2,0.069,1,2,12,0.5,40.0,61.72,1,0
P0315,19-22,3,Intrinsic,10,29.32,15,11,0.733,1,3,2,6.64,21,10,7,0.467,1,6,6,1.12,58.73,68.67,1,0
P0316,19-22,2,Intrinsic,5,31.78,11,6,0.545,3,5,2,2.74,6,4,2,0.182,0,1,4,13.76,49.47,67.82,1,0
P0317,16-18,1,Extrinsic,25,8.65,50,10,0.2,3,2,1,2.91,4,3,1,0.02,3,3,10,3.89,34.22,57.4,0,0
P0318,13-15,0,Intrinsic,15,31.06,30,20,0.667,4,5,1,2.26,7,3,5,0.167,2,3,1,3.79,50.51,76.33,1,0
P0319,13-15,0,Extrinsic,25,38.48,50,37,0.74,4,4,0,3.28,3,4,1,0.02,3,2,5,4.29,49.4,86.4,1,0
P0320,16-18,0,Intrinsic,10,24.02,24,13,0.542,3,3,0,2.19,5,4,1,0.042,2,1,1,2.9,42.69,75.83,1,0
P0321,16-18,2,Intrinsic,13,26.79,37,18,0.486,1,4,3,4.86,13,7,3,0.081,1,6,4,2.64,49.31,65.89,1,0
P0322,19-22,1,Extrinsic,10,30.3,26,14,0.538,3,6,3,6.16,12,11,3,0.115,1,1,4,1.81,36.65,67.46,1,0
P0323,19-22,4,Intrinsic,21,19.8,34,19,0.559,5,5,0,1.0,2,0,1,0.029,1,3,0,1.76,65.35,77.06,1,0
P0324,16-18,3,Intrinsic,14,23.46,25,17,0.68,5,6,1,4.24,5,7,2,0.08,1,2,5,6.14,56.61,79.6,1,0
P0325,23-30,1,Extrinsic,12,11.49,25,19,0.76,4,6,2,3.31,5,7,4,0.16,0,2,11,1.5,54.13,79.2,1,0
P0326,19-22,4,Intrinsic,5,23.11,8,5,0.625,2,1,1,4.19,11,7,1,0.125,3,5,3,5.5,63.02,75.5,1,0
P0327,19-22,5,Intrinsic,18,25.98,40,19,0.475,4,6,2,2.66,7,3,3,0.075,1,3,4,5.46,61.86,67.5,1,0
P0328,19-22,2,Intrinsic,4,26.13,8,7,0.875,4,3,1,5.29,8,7,2,0.25,0,3,2,4.42,59.26,84.25,1,0
P0329,16-18,4,Social,14,30.52,41,18,0.439,3,4,1,4.87,10,8,2,0.049,0,4,0,0.5,52.39,68.49,1,0
P0330,13-15,0,Extrinsic,7,15.8,15,9,0.6,2,2,0,3.85,10,6,0,0.0,0,1,6,0.5,40.87,80.0,1,0
P0331,16-18,0,Extrinsic,20,17.74,50,25,0.5,5,6,1,4.69,8,5,1,0.02,1,1,6,1.13,34.78,72.4,1,0
P0332,19-22,3,Extrinsic,12,37.16,34,9,0.265,3,3,0,1.88,2,2,2,0.059,2,0,5,5.64,42.88,61.47,1,0
P0333,13-15,0,Intrinsic,13,20.8,36,22,0.611,1,4,3,3.57,7,4,0,0.0,5,3,5,6.2,45.02,74.56,1,0
P0334,13-15,0,Intrinsic,7,23.6,12,7,0.583,1,1,0,4.13,3,5,2,0.167,0,2,2,0.5,41.01,74.17,1,0
P0335,13-15,0,Extrinsic,12,21.46,26,11,0.423,3,6,3,3.35,7,6,2,0.077,0,3,5,1.18,38.05,62.85,1,0
P0336,13-15,0,Intrinsic,13,15.43,26,15,0.577,3,3,0,5.17,9,13,1,0.038,1,4,1,5.7,41.16,77.69,1,0
P0337,23-30,4,Intrinsic,11,34.99,23,17,0.739,1,1,0,2.51,6,5,0,0.0,2,3,2,0.86,68.78,86.96,1,0
P0338,19-22,1,Intrinsic,14,17.78,28,14,0.5,4,3,1,4.25,12,3,1,0.036,0,3,1,11.19,42.87,71.93,1,0
P0339,16-18,1,Intrinsic,9,12.98,24,6,0.25,4,7,3,7.65,16,13,5,0.208,0,1,5,2.02,21.38,50.25,0,0
P0340,13-15,0,Social,16,18.39,34,20,0.588,4,3,1,2.44,5,2,3,0.088,1,5,5,8.31,49.93,74.76,1,0
P0341,16-18,0,Intrinsic,15,5.99,34,19,0.559,2,2,0,3.1,1,3,1,0.029,2,7,12,1.68,50.1,77.06,1,0
P0342,16-18,3,Extrinsic,4,16.79,11,4,0.364,3,3,0,4.58,8,10,0,0.0,0,1,9,1.17,41.59,68.18,1,0
P0343,13-15,1,Intrinsic,13,14.25,20,15,0.75,1,4,3,5.93,12,7,5,0.25,3,4,5,1.35,50.18,74.0,1,0
P0344,16-18,2,Social,11,26.94,24,9,0.375,2,3,1,3.01,8,5,2,0.083,2,5,2,6.47,47.98,64.25,1,0
P0345,16-18,0,Intrinsic,12,16.61,31,21,0.677,2,2,0,2.22,2,4,0,0.0,1,4,6,1.2,52.53,83.87,1,0
P0346,19-22,3,Intrinsic,5,29.1,8,3,0.375,4,4,0,2.65,2,1,2,0.25,1,2,5,3.32,48.37,61.25,1,0
P0347,19-22,5,Extrinsic,25,33.19,50,25,0.5,2,1,1,5.67,9,8,2,0.04,3,0,4,1.9,50.82,71.8,1,0
P0348,13-15,0,Extrinsic,15,28.25,27,17,0.63,1,1,0,2.58,2,4,1,0.037,2,4,0,8.52,49.73,80.37,1,0
P0349,16-18,5,Intrinsic,6,20.28,16,13,0.812,2,2,0,3.12,8,5,0,0.0,0,4,2,0.52,75.71,90.62,1,0
P0350,19-22,4,Intrinsic,32,23.13,50,27,0.54,3,6,3,3.86,9,2,5,0.1,3,3,1,1.68,57.45,68.0,1,0
P0351,16-18,2,Intrinsic,3,9.8,5,1,0.2,5,6,1,4.56,17,2,3,0.6,0,3,5,0.5,34.1,40.0,0,0
P0352,23-30,3,Intrinsic,5,20.93,11,7,0.636,5,4,1,3.73,9,5,2,0.182,1,4,2,2.59,59.12,74.36,1,0
P0353,19-22,4,Intrinsic,15,15.12,26,10,0.385,2,1,1,1.99,4,1,2,0.077,0,2,1,1.55,54.4,64.92,1,0
P0354,13-15,0,Extrinsic,12,27.55,23,17,0.739,2,3,1,2.05,7,4,3,0.13,0,5,2,0.5,56.95,81.04,1,0
P0355,13-15,1,Intrinsic,10,42.58,21,20,0.952,2,1,1,1.0,0,1,1,0.048,1,7,5,5.69,75.1,94.19,1,0
P0356,19-22,5,Intrinsic,20,26.0,40,37,0.925,4,7,3,3.25,8,4,4,0.1,3,11,2,1.41,88.87,87.25,1,0
P0357,13-15,0,Extrinsic,15,6.07,34,24,0.706,1,1,0,4.19,9,1,1,0.029,2,3,2,2.04,47.26,84.41,1,0
P0358,19-22,2,Social,11,19.11,26,19,0.731,1,1,0,4.99,8,6,0,0.0,0,2,2,1.57,52.77,86.54,1,0
P0359,23-30,1,Extrinsic,2,22.98,4,2,0.5,3,3,0,4.03,5,6,5,1.25,0,3,1,2.01,43.43,37.5,0,0
P0360,19-22,4,Intrinsic,8,22.7,19,8,0.421,2,5,3,5.33,7,9,2,0.105,2,4,10,0.5,50.51,61.89,1,0
P0361,16-18,0,Intrinsic,6,16.15,11,8,0.727,1,4,3,4.31,5,4,1,0.091,1,4,3,5.07,49.32,77.64,1,0
P0362,19-22,0,Social,18,23.96,30,27,0.9,2,2,0,4.16,5,9,0,0.0,1,4,2,1.21,56.59,95.0,1,0
P0363,16-18,2,Intrinsic,13,12.06,34,26,0.765,2,4,2,4.43,6,10,4,0.118,1,3,7,3.87,57.01,80.71,1,0
P0364,16-18,5,Intrinsic,20,14.44,50,47,0.94,3,4,1,6.21,9,7,2,0.04,2,10,0,0.5,82.08,93.8,1,0
P0365,23-30,3,Extrinsic,13,27.17,24,9,0.375,5,8,3,4.35,10,8,3,0.125,2,1,3,2.23,42.62,59.0,0,0
P0366,16-18,3,Extrinsic,9,13.87,18,5,0.278,1,3,2,6.01,18,8,3,0.167,0,3,1,7.18,37.57,54.89,0,1
P0367,23-30,4,Extrinsic,14,26.31,31,15,0.484,2,3,1,4.81,8,7,1,0.032,1,4,2,1.52,54.33,71.23,1,0
P0368,23-30,3,Intrinsic,16,11.04,36,17,0.472,5,8,3,5.6,13,7,5,0.139,4,0,5,0.66,41.88,63.44,1,0
P0369,13-15,1,Intrinsic,15,36.12,37,26,0.703,4,3,1,1.0,3,4,1,0.027,1,7,2,0.5,65.11,82.32,1,0
P0370,13-15,0,Social,7,15.81,10,5,0.5,2,5,3,5.89,13,11,8,0.8,0,4,5,5.88,36.27,45.0,0,0
P0371,13-15,0,Intrinsic,13,20.21,33,21,0.636,3,4,1,3.31,2,8,2,0.061,1,3,1,0.82,46.68,78.0,1,0
P0372,13-15,0,Extrinsic,1,24.64,1,1,1.0,1,3,2,3.33,8,6,3,3.0,0,3,6,11.08,61.16,6.0,0,1
P0373,13-15,0,Extrinsic,22,17.48,48,18,0.375,4,3,1,1.28,1,1,4,0.083,1,1,0,0.85,38.31,64.25,1,0
P0374,19-22,5,Extrinsic,12,23.15,32,30,0.938,5,6,1,3.49,8,4,2,0.062,1,2,4,1.97,76.77,93.0,1,0
P0375,13-15,0,Intrinsic,10,26.6,21,18,0.857,3,4,1,3.55,10,4,0,0.0,2,5,5,1.84,57.91,90.86,1,0
P0376,16-18,0,Intrinsic,9,29.68,15,6,0.4,3,6,3,2.55,2,4,3,0.2,0,1,4,0.5,36.14,58.0,0,0
P0377,19-22,4,Extrinsic,4,28.33,11,6,0.545,2,2,0,1.0,1,4,2,0.182,0,2,0,2.28,63.32,71.82,1,0
P0378,13-15,0,Social,16,20.63,45,28,0.622,3,3,0,3.73,7,1,1,0.022,4,4,16,3.35,46.56,80.44,1,0
P0379,19-22,4,Social,13,20.83,34,20,0.588,3,2,1,4.81,15,10,3,0.088,0,5,1,4.07,60.01,74.76,1,0
P0380,16-18,1,Intrinsic,16,40.79,33,16,0.485,3,4,1,3.79,7,9,1,0.03,2,5,9,2.22,46.43,71.33,1,0
